,bikeIds,biketype,boundary,boundary_lat1,boundary_lat2,boundary_long1,boundary_long2,boundary_number,consecutive_lat_long_meters,distId,distNum,distX,distY,distance,from_lat,from_long,type,run_at,run_date,run_hour,run_minute,run_at_dt,lat_long_combined,upone,distY_lag,distX_lag,last_location_of_day,Haversine_distance_meters,hour_cluster,lat_on_grid,lon_on_grid,grid_point,grid_point_int,poly_point,poly,poly_perimeter,center_lat,center_lon,weekday
0,A280005880#,1.0,,18.514506,18.482566000000002,73.793201,73.79339,1.0,500.0,A280005880,1.0,73.78979,18.509935000000002,362,18.510014468240357,73.7932275797247,0.0,180601-2007,180601,20,0,2018-06-01 20:07:00,"18.509935000000002, 73.78979","18.501887, 73.795836",18.501887,73.795836,,1099.1049750092054,evening,18.509935000000002,73.78979,[[11]],11.0,11.0,"POLYGON ((73.78934192244279 18.51841347755609, 73.78911568208366 18.5094328346274, 73.79858567609513 18.50943263080453, 73.79881240987656 18.51841326254404, 73.78934192244279 18.51841347755609))",0.03690746710474693,18.513923090398045,73.79396392262618,Friday
1,A280005880#,1.0,,18.514506,18.482566000000002,73.793201,73.79339,1.0,500.0,A280005880,1.0,73.795354,18.501177,1009,18.510014468240357,73.7932275797247,0.0,180602-2036,180602,20,30,2018-06-02 20:36:00,"18.501177, 73.795354","18.510023, 73.789604",18.510023,73.789604,,1155.8458392628327,evening,18.501177,73.795354,[[12]],12.0,12.0,"POLYGON ((73.78911568208366 18.5094328346274, 73.78888946546665 18.50045219142981, 73.79835896610759 18.50045199879492, 73.79858567609513 18.50943263080453, 73.78911568208366 18.5094328346274))",0.036906479651858226,18.504942452927132,73.79373744743982,Saturday
2,A280005880#,1.0,,18.514506,18.482566000000002,73.793201,73.79339,1.0,500.0,A280005880,1.0,73.78958100000001,18.51003,384,18.510014468240357,73.7932275797247,0.0,180603-1039,180603,10,30,2018-06-03 10:39:00,"18.51003, 73.78958100000001","18.508201, 73.791882",18.508201,73.791882,,316.6880102595659,morning,18.51003,73.78958100000001,[[11]],11.0,11.0,"POLYGON ((73.78934192244279 18.51841347755609, 73.78911568208366 18.5094328346274, 73.79858567609513 18.50943263080453, 73.79881240987656 18.51841326254404, 73.78934192244279 18.51841347755609))",0.03690746710474693,18.513923090398045,73.79396392262618,Sunday
3,A280005880#,1.0,,18.514506,18.482566000000002,73.793201,73.79339,1.0,500.0,A280005880,1.0,73.791882,18.508201,246,18.510014468240357,73.7932275797247,0.0,180603-1135,180603,11,30,2018-06-03 11:35:00,"18.508201, 73.791882","18.510017, 73.78965699999999",18.510017,73.78965699999999,,309.6421043150484,morning,18.508201,73.791882,[[12]],12.0,12.0,"POLYGON ((73.78911568208366 18.5094328346274, 73.78888946546665 18.50045219142981, 73.79835896610759 18.50045199879492, 73.79858567609513 18.50943263080453, 73.78911568208366 18.5094328346274))",0.036906479651858226,18.504942452927132,73.79373744743982,Sunday
4,A280005880#,1.0,,18.514506,18.482566000000002,73.793201,73.79339,1.0,500.0,A280005880,1.0,73.789736,18.510068,368,18.510014468240357,73.7932275797247,0.0,180607-1626,180607,16,20,2018-06-07 16:26:00,"18.510068, 73.789736","18.507793, 73.792108",18.507793,73.792108,,355.84862950237175,afternoon,18.510068,73.789736,[[11]],11.0,11.0,"POLYGON ((73.78934192244279 18.51841347755609, 73.78911568208366 18.5094328346274, 73.79858567609513 18.50943263080453, 73.79881240987656 18.51841326254404, 73.78934192244279 18.51841347755609))",0.03690746710474693,18.513923090398045,73.79396392262618,Thursday
5,A280005880#,1.0,,18.514506,18.482566000000002,73.793201,73.79339,1.0,500.0,A280005880,1.0,73.792108,18.507793,274,18.510014468240357,73.7932275797247,0.0,180607-2035,180607,20,30,2018-06-07 20:35:00,"18.507793, 73.792108","18.504717000000003, 73.793172",18.504717000000003,73.793172,,360.07926003536016,evening,18.507793,73.792108,[[12]],12.0,12.0,"POLYGON ((73.78911568208366 18.5094328346274, 73.78888946546665 18.50045219142981, 73.79835896610759 18.50045199879492, 73.79858567609513 18.50943263080453, 73.78911568208366 18.5094328346274))",0.036906479651858226,18.504942452927132,73.79373744743982,Thursday
6,A280005880#,1.0,,18.514506,18.482566000000002,73.793201,73.79339,1.0,500.0,A280005880,1.0,73.793122,18.504513,612,18.510014468240357,73.7932275797247,0.0,180608-0425,180608,4,20,2018-06-08 04:25:00,"18.504513, 73.793122","18.500159, 73.802142",18.500159,73.802142,,1067.5988181846772,night,18.504513,73.793122,[[12]],12.0,12.0,"POLYGON ((73.78911568208366 18.5094328346274, 73.78888946546665 18.50045219142981, 73.79835896610759 18.50045199879492, 73.79858567609513 18.50943263080453, 73.78911568208366 18.5094328346274))",0.036906479651858226,18.504942452927132,73.79373744743982,Friday
7,A280005880#,1.0,,18.535232,18.480482000000002,73.802329,73.801802,2.0,500.0,A280005880,1.0,73.80203900000001,18.50025,394,18.503792092112292,73.80202638015919,0.0,180608-1438,180608,14,30,2018-06-08 14:38:00,"18.50025, 73.80203900000001","18.505516, 73.806857",18.505516,73.806857,,775.472409084507,afternoon,18.50025,73.80203900000001,[[22]],22.0,22.0,"POLYGON ((73.79835896610759 18.50045199879492, 73.79813227989904 18.49147136651541, 73.80760128721728 18.49147118518909, 73.80782846674282 18.50045180625744, 73.79835896610759 18.50045199879492))",0.03690549479898327,18.495961628200032,73.8029802499932,Friday
8,A280005880#,1.0,,18.535232,18.480482000000002,73.802329,73.801802,2.0,500.0,A280005880,1.0,73.806878,18.505584,589,18.50828350755429,73.80206960475559,0.0,180610-1625,180610,16,20,2018-06-10 16:25:00,"18.505584, 73.806878","18.507312, 73.807242",18.507312,73.807242,,196.00233793613285,afternoon,18.505584,73.806878,[[21]],21.0,21.0,"POLYGON ((73.79858567609513 18.50943263080453, 73.79835896610759 18.50045199879492, 73.80782846674282 18.50045180625744, 73.80805567009908 18.5094324270547, 73.79858567609513 18.50943263080453))",0.036906482147069306,18.50494225474077,73.80320719476272,Sunday
9,A280005880#,1.0,,18.535232,18.480482000000002,73.802329,73.801802,2.0,500.0,A280005880,1.0,73.807244,18.507259,818,18.51277492298647,73.80211283162066,0.0,180610-2026,180610,20,20,2018-06-10 20:26:00,"18.507259, 73.807244","18.506195, 73.809081",18.506195,73.809081,"18.507259, 73.807244",227.04696465292835,evening,18.507259,73.807244,[[21]],21.0,21.0,"POLYGON ((73.79858567609513 18.50943263080453, 73.79835896610759 18.50045199879492, 73.80782846674282 18.50045180625744, 73.80805567009908 18.5094324270547, 73.79858567609513 18.50943263080453))",0.036906482147069306,18.50494225474077,73.80320719476272,Sunday
